Código;Nombre del alimento/preparación;Energía (kcal);Energía (kJ);Agua (g);Proteínas (g);Grasa total (g);Carbohidratos totales (g);Carbohidratos disponibles (g);Fibra dietaria (g)
A1;Achita, kiwicha o achis;351;1469;9,2;12,8;6,6;69,1;59,8;9,3
A2;Arroz pilado o pulido cocido;115;480;72,2;2,4;0,1;25,2;•;•
A3;Arroz blanco corriente;358;1500;13,4;7,8;0,7;77,6;•;•
A4;Arroz con cáscara;332;1388;11,9;5,9;2,0;75,7;71,6;4,1
A5;Avena envasada;380;1592;6,1;13,7;4,7;71,3;•;•
A6;Avena, hojuela cocida;54;224;87,1;1,3;0,5;10,9;•;•
A7;Avena, hojuela cruda;333;1394;8,8;13,3;4,0;72,2;61,6;10,6
A8;Cañihua, variedad amarilla;381;1595;10,7;15,7;7,5;62,5;•;•
A9;Cañihua gris;356;1488;12,4;14,0;4,5;64,0;•;•
A10;Cañihua, hojuela de;318;1331;11,4;14,5;8,9;61,0;45,5;15,5
A11;Cañihua parda;355;1487;12,2;13,8;3,5;66,2;•;•
A12;Cebada con cáscara;284;1190;9,7;8,4;2,0;77,5;60,2;17,3
A13;Cebada, llunka de (morón americano);249;1041;18,5;1,9;0,7;77,1;59,8;17,3
A14;Cebada, mashka o machica;302;1265;10,0;8,6;0,7;77,4;67,3;10,1
A15;Cebada para mote, pelada;328;1372;15,4;8,2;1,1;73,3;•;•
A16;Cebada tostada, harina integral;274;1147;5,6;8,7;3,2;80,2;54,8;25,4
A17;Cebada perlada o resbalada cocida;59;248;81,0;1,0;0,1;17,7;13,9;3,8
A18;Cebada perlada o resbalada cruda;277;1161;13,3;5,3;0,6;79,8;64,2;15,6
A19;Cebada tostada y molida (chaquepa);349;1460;9,9;7,7;0,8;79,7;•;•
A20;Chancay (bizcocho);355;1485;19,4;8,8;6,9;64,4;•;•
A21;Fideo crudo fortificado con hierro;337;1412;12,1;9,4;0,2;77,7;74,5;3,2
A22;Fideo tallarín crudo fortificado con hierro;305;1274;20,4;9,5;0,1;69,6;66,4;3,2
A23;Fideo tallarín sancochado fortiticado con hierro;90;378;75,5;3,1;0,0;21,3;19,5;1,8
A24;Galleta de soda (salada);433;1810;4,8;10,1;14,7;68,0;65,0;3,0
A25;Galleta de vainilla (dulce);434;1814;4,8;6,0;12,7;74,9;73,8;1,1
A26;Maíz alazán;346;1449;13,7;8,2;3,7;72,7;•;•
A27;Maíz alazán, jora fresca de;289;1210;28,1;5,4;2,8;62,3;•;•
A28;Maíz alazán, jora seca de;347;1450;13,8;7,0;3,6;73,8;•;•
A29;Maíz amarillo;355;1486;13,5;6,7;4,8;73,6;•;•
A30;Maíz blanco crudo;343;1437;12,7;5,9;4,0;76,1;72,9;3,2
A31;Maíz blanco tostado;389;1628;4,6;7,2;4,6;82,1;•;•
A32;Maíz cancha tostada de;342;1429;9,5;6,7;2,7;79,8;74,6;5,2
A33;Maíz, chochoca de;349;1462;13,0;5,2;2,5;78,0;•;•
A34;Maíz, grano fresco (choclo);104;437;67,3;3,3;0,8;27,8;25,1;2,7
A35;Maíz, germinado seco;314;1313;22,0;6,2;3,2;67,0;•;•
A36;Maíz, harina de;326;1366;11,9;8,7;6,5;71,2;61,6;9,6
A37;Maiz, maicena;365;1529;8,3;0,3;0,1;91,3;90,4;0,9
A38;Maíz, morado sin coronta;355;1487;11,4;7,3;3,4;76,2;•;•
A39;Maíz, mote de (sancochado);103;431;74,5;2,6;1,3;21,1;•;•
A40;Maíz, pachuco de;349;1459;13,4;7,3;3,9;73,5;•;•
A41;Maíz, para mote pelado;349;1461;12,6;5,9;2,1;78,3;•;•
A42;Maíz, para mote sin pelar;345;1445;12,8;5,7;1,5;78,7;•;•
A43;Maíz, polenta cruda de;324;1358;13,3;8,3;1,2;74,0;72,4;1,6
A44;Maíz, tocosh crudo;192;803;52,7;2,6;2,2;41,3;•;•
A45;Pan de cebada (serrano);295;1236;24,4;7,2;0,2;66,2;•;•
A46;Pan de labranza;328;1374;17,3;9,6;0,3;71,8;•;•
A47;Pan de molde;317;1326;20,8;6,8;2,5;69,2;66,8;2,4
A48;Pan bollo o bollitos de queso de Huancavelica;310;1297;30,3;9,5;7,3;51,7;•;•
A49;Pan francés fortificado con hierro;277;1161;27,0;8,4;0,2;62,9;60,5;2,4
A50;Quinua, afrecho de;351;1467;14,1;10,7;4,5;65,9;•;•
A51;Quinua blanca, (Junín);334;1396;12,8;12,5;6,5;66,0;56,0;10,0
A52;Quinua blanca (�uno);355;1484;11,1;13,3;6,1;67,1;61,2;5,9
A53;Quinua cocida;89;372;79,0;2,8;1,3;16,3;•;•
A54;Quinua;351;1470;11,5;13,6;5,8;66,6;60,7;5,9
A55;Quinua dulce, blanca (�unín);361;1510;11,1;11,1;7,7;67,4;61,5;5,9
A56;Quinua dulce, blanca (�uno);349;1459;11,2;11,6;5,3;68,9;63,0;5,9
A57;Quinua dulce, rosada (�unín);360;1506;11,0;12,3;7,2;67,1;61,2;5,9
A58;Quinua, harina de;337;1408;11,7;12,4;6,0;67,2;57,9;9,3
A59;Quinua, hojuelas de;376;1572;13,4;13,9;7,4;63,1;•;•
A60;Quinua rosada (�uno);356;1490;10,2;12,5;6,4;67,6;61,7;5,9
A61;Quinua, sémola de;362;1516;12,6;19,5;10,7;53,8;47,9;5,9
A62;Sorgo;309;1292;12,2;8,0;4,0;72,8;66,5;6,3
A63;Trigo, harina fortificada con hierro de;362;1517;10,8;10,5;2,0;76,3;73,6;2,7
A64;Trigo, llunka de;312;1307;16,1;9,1;1,0;71,8;•;•
A65;Trigo, harina tostada de (machica);330;1382;9,0;7,9;1,2;79,9;77,2;2,7
A66;Trigo, mote de (sancochado);154;644;59,0;2,5;0,6;37,0;•;•
A67;Trigo para mote pelado cocido;63;265;82,9;1,9;0,1;14,7;•;•
A68;Trigo para mote pelado crudo;325;1359;12,5;9,8;0,9;74,6;•;•
A69;Trigo, pelado;330;1379;12,6;8,4;1,4;76,1;•;•
A70;Trigo resbalado cocido;83;347;77,9;2,8;0,3;18,6;•;•
A71;Trigo resbalado crudo;327;1370;13,5;11,4;1,8;71,8;•;•
A72;Trigo, sémola de;319;1334;12,1;7,8;1,1;78,4;74,5;3,9
A73;Trigo;289;1210;11,6;10,3;1,9;74,7;62,5;12,2
A74;Barra de cereales (avena y arrocillo) con maní y pasas;391;1637;8,8;5,8;9,4;74,9;70,9;4,0
A75;Barra de cereales con sabor a chocolate y chocochips;386;1615;6,7;4,9;8,5;78,6;72,4;6,2
A76;Barra de cereales (avena, arroz) con aguaymanto;371;1551;8,5;5,3;7,3;77,6;71,0;6,6
A77;Barra de cereales (maíz, trigo, arroz) sabor a miel con leche, vitaminas y minerales;397;1660;6,4;4,4;8,5;79,0;75,5;3,4
A78;Bollito de maíz de Huánuco;426;1781;13,1;9,6;17,5;57,5;•;•
A79;Bollito de yema de Huánuco;384;1606;18,0;9,9;12,6;57,5;•;•
A80;Cañihua, harina de;327;1367;10,2;15,2;8,3;63,0;48,2;14,9
A81;Cañihua, variedad roja;381;1594;10,7;15,4;7,5;62,7;•;•
A82;Cañihua, variedad blanca;382;1597;10,7;15,4;7,7;62,5;•;•
A83;Galleta de soda (San Jorge);440;1843;3,9;9,3;13,3;70,8;•;•
A84;Galleta de vainilla (Field);462;1933;2,7;7,3;15,6;73,1;•;•
A85;Galleta dulce con avena y base sabor a chocolate (con fibra);461;1929;2,9;6,7;19,8;69,0;64,1;4,9
